log_id,user_id,session_id,timestamp,date,country,city,device_type,browser,service_name,request_type,traffic_source,campaign_name,campaign_type,customer_segment,subscription_type,engagement_score,time_on_page_seconds,pages_visited,bounce_rate,demo_requested,event_registered,ai_assistant_used,sale_confirmed,revenue,profit,customer_value,service_rating,renewal_status,response_time_ms,response_code,error_flag,sales_target
209237,U209237,S147234,2026-05-12 17:56:50,2026-05-12,Ghana,Kumasi,Mobile,Safari,Real-Time Threat Monitoring,AI Assistant Query,Facebook,CyberShield Launch,Awareness Campaign,Government Agency,Basic,96,439,3,0.51,0,0,1,0,0,0.0,2070,3.3,Renewed,152,200,0,12304.4
102954,U102954,S248048,2026-04-08 03:31:16,2026-04-08,Botswana,Gaborone,Mobile,Edge,Real-Time Threat Monitoring,Schedule Demo,Facebook,SME Security Awareness,Social Media,Technology Partner,Free Trial,53,814,9,0.45,1,0,0,0,0,0.0,1510,3.0,Not Applicable,722,400,1,10045.7
419700,U419700,S781351,2026-02-20 19:57:49,2026-02-20,Botswana,Francistown,Desktop,Safari,Real-Time Threat Monitoring,Product Inquiry,Direct,Threat Monitoring Promo,Social Media,SME,Enterprise,45,529,1,0.25,1,0,0,0,0,0.0,950,4.2,Renewed,820,301,1,16750.02
81781,U081781,S665231,2026-03-26 01:23:51,2026-03-26,Zimbabwe,Harare,Desktop,Chrome,Predictive System Maintenance,Event Registration,Organic Search,Banking Cyber Resilience,Social Media,SME,Professional,52,20,2,0.12,0,1,0,0,0,0.0,1140,1.8,Renewed,326,400,1,13690.78
274642,U274642,S578844,2026-02-04 01:49:06,2026-02-04,Zimbabwe,Harare,Mobile,Edge,Real-Time Threat Monitoring,Product Inquiry,Referral,AI Assistant Webinar,Search Ads,Government Agency,Basic,52,578,2,0.44,0,0,0,0,0,0.0,1140,4.2,Renewed,476,200,0,13635.16
133795,U133795,S405771,2026-01-31 09:27:04,2026-01-31,Kenya,Nairobi,Tablet,Safari,Automated Risk Assessment,Event Registration,Email Campaign,Government Digital Safety,Webinar,SME,Enterprise,83,363,7,0.46,0,1,0,0,0,0.0,2010,2.7,At Risk,675,200,0,8594.16
230533,U230533,S609671,2026-05-09 16:17:59,2026-05-09,Kenya,Nairobi,Mobile,Chrome,AI Cyber Assistant,Technical Support,LinkedIn Ads,SME Security Awareness,Email Campaign,Technology Partner,Professional,50,266,7,0.21,0,1,0,0,0,0.0,1350,2.6,At Risk,562,200,0,6799.82
305857,U305857,S656834,2026-04-19 01:17:27,2026-04-19,Mozambique,Beira,Tablet,Safari,AI Cyber Assistant,Event Registration,Email Campaign,Banking Cyber Resilience,Webinar,Government Agency,Professional,29,351,2,0.66,0,1,0,0,0,0.0,680,3.3,At Risk,680,200,0,6596.89
194412,U194412,S276577,2026-01-23 16:53:54,2026-01-23,South Africa,Johannesburg,Mobile,Chrome,AI Cyber Assistant,Product Inquiry,Organic Search,Threat Monitoring Promo,Social Media,SME,Free Trial,86,26,9,0.12,1,0,0,0,0,0.0,2170,2.9,Not Applicable,395,400,1,7766.45
173648,U173648,S507995,2026-04-04 00:04:00,2026-04-04,Mozambique,Beira,Laptop,Safari,Predictive System Maintenance,Pricing Request,Email Campaign,SME Security Awareness,Awareness Campaign,Financial Institution,Free Trial,57,197,4,0.79,0,0,1,0,0,0.0,1340,2.1,Not Applicable,748,500,1,13523.57
76147,U076147,S114616,2026-04-20 20:32:40,2026-04-20,Nigeria,Lagos,Laptop,Chrome,Real-Time Threat Monitoring,Schedule Demo,LinkedIn Ads,Government Digital Safety,Referral Campaign,Technology Partner,Free Trial,72,611,1,0.74,1,0,1,0,0,0.0,1490,2.2,Not Applicable,961,200,0,9975.36
452805,U452805,S779080,2026-01-19 23:56:46,2026-01-19,Rwanda,Kigali,Laptop,Firefox,Predictive System Maintenance,AI Assistant Query,Google Ads,Government Digital Safety,Email Campaign,Financial Institution,Basic,83,567,3,0.49,0,0,1,0,0,0.0,1810,4.1,Pending,728,301,1,12425.39
119496,U119496,S757105,2026-03-28 16:35:39,2026-03-28,Botswana,Palapye,Laptop,Edge,Digital Infrastructure Prototyping,Event Registration,Direct,Banking Cyber Resilience,Referral Campaign,Technology Partner,Basic,38,163,13,0.38,0,1,0,0,0,0.0,1410,2.5,At Risk,829,200,0,22526.57
3750,U003750,S779245,2026-01-20 19:03:48,2026-01-20,Botswana,Gaborone,Laptop,Edge,Digital Infrastructure Prototyping,AI Assistant Query,Facebook,Threat Monitoring Promo,Email Campaign,Large Enterprise,Professional,97,171,8,0.81,0,0,1,0,0,0.0,2340,1.8,Renewed,584,200,0,19999.82
158068,U158068,S739063,2026-05-01 11:10:40,2026-05-01,Zimbabwe,Harare,Laptop,Safari,Real-Time Threat Monitoring,Event Registration,Referral,Government Digital Safety,Social Media,Financial Institution,Enterprise,28,630,13,0.72,0,1,0,0,0,0.0,1210,3.1,Not Applicable,745,200,0,15472.22
423414,U423414,S996447,2026-02-10 02:47:45,2026-02-10,Namibia,Swakopmund,Tablet,Chrome,Real-Time Threat Monitoring,AI Assistant Query,LinkedIn Ads,CyberShield Launch,Search Ads,Financial Institution,Enterprise,41,728,8,0.8,0,0,1,0,0,0.0,1220,2.6,At Risk,603,403,1,9852.81
255716,U255716,S281267,2026-03-20 20:47:21,2026-03-20,Mozambique,Beira,Tablet,Firefox,AI Cyber Assistant,AI Assistant Query,Organic Search,Government Digital Safety,Email Campaign,SME,Basic,43,466,10,0.4,0,0,1,1,9064,4127.56,10424,2.5,Pending,1052,200,0,8048.56
81048,U081048,S893961,2026-02-10 03:36:49,2026-02-10,Ghana,Accra,Mobile,Firefox,AI Cyber Assistant,Technical Support,Facebook,AI Assistant Webinar,Social Media,Large Enterprise,Enterprise,100,612,8,0.16,0,0,0,0,0,0.0,2400,3.3,Pending,655,500,1,8019.48
259442,U259442,S268534,2026-02-16 22:55:01,2026-02-16,Mozambique,Beira,Mobile,Firefox,Predictive System Maintenance,Pricing Request,Google Ads,Banking Cyber Resilience,Awareness Campaign,Government Agency,Free Trial,79,207,4,0.71,0,0,1,1,15838,5340.6,17618,3.3,Not Applicable,622,404,1,17692.49
226643,U226643,S549996,2026-01-10 10:44:50,2026-01-10,Ghana,Kumasi,Tablet,Edge,Digital Infrastructure Prototyping,Technical Support,Google Ads,CyberShield Launch,Webinar,Financial Institution,Professional,37,273,5,0.62,0,0,0,0,0,0.0,990,2.0,Pending,513,200,0,15755.19
80409,U080409,S937178,2026-03-03 08:05:25,2026-03-03,Rwanda,Kigali,Tablet,Safari,Automated Risk Assessment,AI Assistant Query,LinkedIn Ads,Government Digital Safety,Email Campaign,Large Enterprise,Basic,77,465,12,0.25,0,0,1,0,0,0.0,2140,2.5,At Risk,1142,403,1,9806.66
179266,U179266,S829179,2026-04-10 11:36:50,2026-04-10,South Africa,Johannesburg,Laptop,Safari,Digital Infrastructure Prototyping,Product Inquiry,LinkedIn Ads,AI Assistant Webinar,Email Campaign,Government Agency,Professional,88,499,4,0.74,0,0,0,0,0,0.0,1960,2.7,Not Applicable,759,301,1,22732.78
429382,U429382,S717286,2026-03-17 19:28:36,2026-03-17,Kenya,Nairobi,Desktop,Firefox,Predictive System Maintenance,AI Assistant Query,Facebook,Government Digital Safety,Referral Campaign,SME,Basic,86,852,10,0.76,0,0,1,0,0,0.0,2220,2.0,Renewed,711,200,0,19116.35
443376,U443376,S860175,2026-03-24 17:48:48,2026-03-24,Kenya,Nairobi,Laptop,Edge,Real-Time Threat Monitoring,Technical Support,Google Ads,Threat Monitoring Promo,Social Media,Government Agency,Professional,71,160,10,0.35,0,0,0,0,0,0.0,1920,2.3,At Risk,411,500,1,11021.49
136653,U136653,S570657,2026-01-21 05:46:26,2026-01-21,Zambia,Ndola,Mobile,Safari,AI Cyber Assistant,Schedule Demo,Referral,Government Digital Safety,Webinar,Government Agency,Free Trial,50,654,8,0.3,1,1,0,0,0,0.0,1400,3.0,Not Applicable,1011,301,1,6606.11
447626,U447626,S923881,2026-02-01 20:08:04,2026-02-01,Kenya,Nairobi,Tablet,Firefox,Predictive System Maintenance,Schedule Demo,Google Ads,Threat Monitoring Promo,Social Media,SME,Professional,45,330,2,0.26,1,0,0,0,0,0.0,1000,4.4,At Risk,1005,301,1,12205.22
263902,U263902,S973299,2026-04-23 06:17:09,2026-04-23,Botswana,Gaborone,Tablet,Firefox,Digital Infrastructure Prototyping,Technical Support,LinkedIn Ads,AI Assistant Webinar,Referral Campaign,Large Enterprise,Free Trial,39,669,1,0.36,0,0,0,0,0,0.0,830,1.5,Not Applicable,676,500,1,23313.04
340120,U340120,S895829,2026-03-19 17:03:23,2026-03-19,Nigeria,Abuja,Laptop,Edge,Predictive System Maintenance,Schedule Demo,Google Ads,Threat Monitoring Promo,Search Ads,Technology Partner,Enterprise,99,33,12,0.41,1,0,0,0,0,0.0,2580,2.9,Pending,696,200,0,15275.21
43172,U043172,S748469,2026-03-27 14:15:14,2026-03-27,Nigeria,Abuja,Tablet,Chrome,Digital Infrastructure Prototyping,AI Assistant Query,Google Ads,SME Security Awareness,Awareness Campaign,SME,Enterprise,43,257,6,0.26,0,1,1,0,0,0.0,1160,2.4,Renewed,295,301,1,22533.25
246412,U246412,S707676,2026-04-07 09:54:50,2026-04-07,Kenya,Nairobi,Tablet,Edge,Automated Risk Assessment,Technical Support,Referral,Government Digital Safety,Social Media,Government Agency,Basic,71,239,10,0.73,0,0,1,0,0,0.0,1920,4.4,Renewed,462,200,0,10427.63
314882,U314882,S250305,2026-03-04 15:26:39,2026-03-04,Namibia,Windhoek,Laptop,Chrome,Predictive System Maintenance,AI Assistant Query,Organic Search,Threat Monitoring Promo,Referral Campaign,Technology Partner,Basic,27,103,13,0.15,0,0,1,0,0,0.0,1190,1.7,Pending,210,404,1,16327.16
302088,U302088,S926014,2026-04-25 06:20:36,2026-04-25,South Africa,Johannesburg,Mobile,Safari,AI Cyber Assistant,Pricing Request,Facebook,SME Security Awareness,Search Ads,SME,Basic,43,777,10,0.69,0,0,0,0,0,0.0,1360,3.7,Renewed,616,403,1,8394.32
186083,U186083,S174182,2026-01-12 06:40:44,2026-01-12,Ghana,Accra,Desktop,Safari,Predictive System Maintenance,Schedule Demo,Referral,SME Security Awareness,Awareness Campaign,Financial Institution,Free Trial,60,208,9,0.32,1,0,0,0,0,0.0,1650,2.6,Not Applicable,683,500,1,12541.33
148767,U148767,S122710,2026-03-25 22:24:46,2026-03-25,Namibia,Windhoek,Mobile,Safari,Real-Time Threat Monitoring,AI Assistant Query,Referral,Government Digital Safety,Awareness Campaign,SME,Basic,89,670,11,0.12,0,0,1,0,0,0.0,2330,3.1,Not Applicable,321,200,0,10927.14
319416,U319416,S664596,2026-03-19 08:58:51,2026-03-19,Kenya,Mombasa,Mobile,Firefox,AI Cyber Assistant,Technical Support,Organic Search,Banking Cyber Resilience,Email Campaign,SME,Free Trial,62,868,14,0.54,1,0,0,0,0,0.0,1940,1.8,Not Applicable,301,404,1,6225.53
86173,U086173,S819079,2026-01-30 01:30:34,2026-01-30,Zimbabwe,Harare,Desktop,Edge,Automated Risk Assessment,Product Inquiry,Google Ads,Banking Cyber Resilience,Awareness Campaign,Technology Partner,Free Trial,47,843,3,0.3,0,0,0,0,0,0.0,1090,3.4,Not Applicable,706,404,1,10510.24
133648,U133648,S559311,2026-04-27 07:37:51,2026-04-27,Kenya,Nairobi,Laptop,Edge,Automated Risk Assessment,Technical Support,LinkedIn Ads,SME Security Awareness,Search Ads,SME,Professional,25,54,6,0.74,0,0,0,0,0,0.0,800,2.7,Not Applicable,562,200,0,12051.38
259271,U259271,S452825,2026-01-01 05:47:02,2026-01-01,Rwanda,Kigali,Mobile,Edge,Digital Infrastructure Prototyping,Event Registration,Organic Search,SME Security Awareness,Awareness Campaign,Large Enterprise,Free Trial,87,585,11,0.42,0,1,0,0,0,0.0,2290,2.6,Not Applicable,606,404,1,17002.36
232596,U232596,S481898,2026-04-15 06:29:25,2026-04-15,Rwanda,Kigali,Laptop,Edge,Digital Infrastructure Prototyping,Event Registration,LinkedIn Ads,AI Assistant Webinar,Search Ads,Large Enterprise,Basic,63,421,14,0.52,0,1,0,0,0,0.0,1960,2.9,Not Applicable,313,301,1,23503.26
214740,U214740,S525233,2026-03-15 02:31:52,2026-03-15,Namibia,Swakopmund,Tablet,Safari,Automated Risk Assessment,Pricing Request,Email Campaign,Government Digital Safety,Referral Campaign,Technology Partner,Free Trial,24,153,11,0.12,0,0,0,0,0,0.0,1030,3.9,Not Applicable,617,500,1,12257.72
397925,U397925,S130290,2026-03-18 14:18:06,2026-03-18,Botswana,Maun,Mobile,Edge,Automated Risk Assessment,Schedule Demo,Google Ads,CyberShield Launch,Webinar,Financial Institution,Professional,58,711,4,0.25,1,0,0,0,0,0.0,1360,3.8,Pending,737,200,0,8994.29
99407,U099407,S761646,2026-03-01 11:06:34,2026-03-01,Botswana,Maun,Tablet,Firefox,AI Cyber Assistant,Product Inquiry,Facebook,SME Security Awareness,Search Ads,SME,Basic,52,38,4,0.63,1,1,0,0,0,0.0,1240,2.4,Pending,566,403,1,8367.26
230884,U230884,S650338,2026-05-07 01:42:58,2026-05-07,Zimbabwe,Bulawayo,Laptop,Edge,Real-Time Threat Monitoring,Pricing Request,Facebook,Government Digital Safety,Awareness Campaign,Financial Institution,Free Trial,37,109,8,0.71,0,0,0,0,0,0.0,1140,1.9,Not Applicable,646,200,0,14458.94
261174,U261174,S510686,2026-03-26 15:50:52,2026-03-26,Mozambique,Maputo,Laptop,Chrome,AI Cyber Assistant,Schedule Demo,Facebook,CyberShield Launch,Email Campaign,SME,Enterprise,40,62,2,0.73,1,0,1,0,0,0.0,900,1.7,At Risk,585,403,1,8034.31
479492,U479492,S189435,2026-01-10 08:11:17,2026-01-10,Mozambique,Beira,Tablet,Edge,Digital Infrastructure Prototyping,AI Assistant Query,Direct,SME Security Awareness,Social Media,Large Enterprise,Enterprise,27,738,5,0.05,0,0,1,0,0,0.0,790,3.7,Not Applicable,783,500,1,16392.26
462672,U462672,S706852,2026-03-01 12:03:07,2026-03-01,Mozambique,Beira,Tablet,Edge,Automated Risk Assessment,Technical Support,Facebook,CyberShield Launch,Social Media,Technology Partner,Free Trial,23,228,7,0.41,0,0,0,0,0,0.0,810,2.3,Not Applicable,635,404,1,11962.77
224949,U224949,S946700,2026-02-26 07:36:32,2026-02-26,Namibia,Swakopmund,Laptop,Safari,Predictive System Maintenance,Event Registration,Google Ads,Government Digital Safety,Social Media,Financial Institution,Professional,95,305,5,0.47,1,1,0,0,0,0.0,2150,1.9,At Risk,544,200,0,16684.23
421374,U421374,S362547,2026-01-15 17:09:07,2026-01-15,Zimbabwe,Bulawayo,Laptop,Edge,Automated Risk Assessment,AI Assistant Query,Organic Search,CyberShield Launch,Referral Campaign,SME,Free Trial,67,717,3,0.47,1,1,1,0,0,0.0,1490,3.7,Not Applicable,1226,200,1,9824.02
378075,U378075,S815592,2026-02-08 14:38:22,2026-02-08,South Africa,Pretoria,Mobile,Firefox,Automated Risk Assessment,AI Assistant Query,Referral,SME Security Awareness,Email Campaign,SME,Free Trial,97,606,10,0.79,0,0,1,0,0,0.0,2440,1.8,Not Applicable,1060,400,1,9818.67
284121,U284121,S301888,2026-01-21 01:03:07,2026-01-21,South Africa,Johannesburg,Tablet,Edge,Digital Infrastructure Prototyping,Event Registration,Facebook,CyberShield Launch,Referral Campaign,Financial Institution,Basic,68,119,8,0.13,0,1,0,0,0,0.0,1760,2.3,Renewed,812,200,0,20962.35
107866,U107866,S482186,2026-03-03 17:27:39,2026-03-03,South Africa,Johannesburg,Desktop,Edge,AI Cyber Assistant,Schedule Demo,Direct,SME Security Awareness,Webinar,Technology Partner,Basic,67,27,8,0.15,1,0,0,1,7377,1885.23,9117,3.5,Not Applicable,656,200,0,8353.36
137413,U137413,S487130,2026-02-03 05:12:44,2026-02-03,South Africa,Cape Town,Desktop,Chrome,Predictive System Maintenance,Product Inquiry,Facebook,SME Security Awareness,Social Media,Financial Institution,Professional,38,531,10,0.76,0,0,1,0,0,0.0,1260,4.4,Not Applicable,514,400,1,20460.2
100204,U100204,S653358,2026-04-21 08:55:30,2026-04-21,Kenya,Nairobi,Mobile,Firefox,Real-Time Threat Monitoring,Event Registration,Email Campaign,Threat Monitoring Promo,Email Campaign,SME,Professional,83,379,12,0.2,0,1,0,0,0,0.0,2260,2.9,Pending,394,403,1,11857.78
285815,U285815,S814063,2026-02-25 13:50:22,2026-02-25,Rwanda,Kigali,Laptop,Safari,Predictive System Maintenance,Product Inquiry,Google Ads,Banking Cyber Resilience,Webinar,SME,Basic,36,112,12,0.62,0,0,1,0,0,0.0,1320,2.9,Renewed,602,403,1,15625.8
168012,U168012,S290673,2026-04-13 15:24:19,2026-04-13,Namibia,Windhoek,Laptop,Safari,Predictive System Maintenance,Event Registration,Referral,Threat Monitoring Promo,Search Ads,Technology Partner,Free Trial,37,76,5,0.34,0,1,0,1,17487,4632.0,18477,2.7,Not Applicable,952,301,1,18631.42
159581,U159581,S207671,2026-01-10 01:54:57,2026-01-10,Kenya,Nairobi,Desktop,Firefox,AI Cyber Assistant,Schedule Demo,Direct,CyberShield Launch,Social Media,Technology Partner,Basic,68,160,13,0.81,1,1,0,0,0,0.0,2010,2.4,At Risk,1254,301,1,5312.1
490936,U490936,S783429,2026-05-08 20:51:14,2026-05-08,South Africa,Cape Town,Mobile,Chrome,Automated Risk Assessment,AI Assistant Query,Email Campaign,SME Security Awareness,Referral Campaign,Financial Institution,Professional,65,68,9,0.83,0,0,1,0,0,0.0,1750,2.8,Renewed,909,200,0,7378.88
59417,U059417,S180472,2026-01-14 21:19:12,2026-01-14,Botswana,Maun,Mobile,Edge,Real-Time Threat Monitoring,Schedule Demo,Direct,Threat Monitoring Promo,Awareness Campaign,SME,Basic,74,36,5,0.48,1,0,0,0,0,0.0,1730,2.0,Not Applicable,727,200,0,13093.85
251204,U251204,S887210,2026-03-13 09:29:24,2026-03-13,Nigeria,Lagos,Laptop,Edge,Real-Time Threat Monitoring,AI Assistant Query,Email Campaign,AI Assistant Webinar,Webinar,Technology Partner,Professional,70,424,6,0.72,0,0,1,0,0,0.0,1700,1.9,At Risk,818,200,0,15938.14
483961,U483961,S989417,2026-05-09 03:30:14,2026-05-09,Botswana,Maun,Tablet,Edge,Automated Risk Assessment,Product Inquiry,Organic Search,Banking Cyber Resilience,Search Ads,SME,Free Trial,96,558,14,0.44,0,0,1,0,0,0.0,2620,4.3,Not Applicable,803,200,0,8605.5
128701,U128701,S685421,2026-03-16 15:21:24,2026-03-16,Zimbabwe,Bulawayo,Laptop,Edge,Digital Infrastructure Prototyping,AI Assistant Query,LinkedIn Ads,AI Assistant Webinar,Webinar,Government Agency,Enterprise,26,387,10,0.8,0,0,1,0,0,0.0,1020,4.1,Renewed,523,200,0,21815.79
425411,U425411,S775893,2026-04-25 14:06:58,2026-04-25,Nigeria,Abuja,Desktop,Firefox,Automated Risk Assessment,Product Inquiry,Email Campaign,Threat Monitoring Promo,Referral Campaign,Financial Institution,Enterprise,47,855,13,0.7,0,0,1,0,0,0.0,1590,1.8,Renewed,298,200,0,10449.63
292871,U292871,S161491,2026-02-08 14:21:57,2026-02-08,Kenya,Mombasa,Laptop,Edge,Automated Risk Assessment,Product Inquiry,Email Campaign,Banking Cyber Resilience,Social Media,Large Enterprise,Basic,34,536,12,0.21,0,0,0,0,0,0.0,1280,2.7,At Risk,566,301,1,8161.54
24188,U024188,S882311,2026-02-06 06:40:06,2026-02-06,Zimbabwe,Bulawayo,Laptop,Firefox,Automated Risk Assessment,Schedule Demo,Organic Search,Threat Monitoring Promo,Social Media,SME,Basic,91,215,14,0.39,1,0,0,0,0,0.0,2520,3.2,Renewed,455,403,1,11854.13
314266,U314266,S167426,2026-01-30 00:49:07,2026-01-30,Nigeria,Abuja,Tablet,Edge,Digital Infrastructure Prototyping,Schedule Demo,LinkedIn Ads,Banking Cyber Resilience,Social Media,SME,Professional,80,616,7,0.6,1,0,0,0,0,0.0,1950,4.4,Not Applicable,980,400,1,24825.48
232499,U232499,S608385,2026-01-12 08:54:06,2026-01-12,South Africa,Cape Town,Laptop,Safari,AI Cyber Assistant,Product Inquiry,Direct,Threat Monitoring Promo,Email Campaign,Technology Partner,Basic,84,488,8,0.82,0,0,0,0,0,0.0,2080,2.9,Renewed,422,200,0,8680.44
451683,U451683,S838240,2026-01-22 04:04:15,2026-01-22,Namibia,Swakopmund,Desktop,Chrome,Automated Risk Assessment,Technical Support,Google Ads,AI Assistant Webinar,Webinar,Large Enterprise,Professional,29,531,4,0.67,0,0,1,0,0,0.0,780,4.1,At Risk,967,403,1,7870.99
291520,U291520,S642387,2026-05-08 14:05:30,2026-05-08,Namibia,Windhoek,Desktop,Safari,Real-Time Threat Monitoring,Schedule Demo,Email Campaign,SME Security Awareness,Webinar,SME,Enterprise,46,158,10,0.23,1,0,0,0,0,0.0,1420,3.8,Pending,387,200,0,10442.19
20766,U020766,S505936,2026-05-01 02:48:27,2026-05-01,Kenya,Nairobi,Desktop,Firefox,Real-Time Threat Monitoring,Schedule Demo,Organic Search,Government Digital Safety,Awareness Campaign,Government Agency,Professional,26,421,8,0.24,1,0,0,0,0,0.0,920,3.8,Pending,1056,403,1,14632.07
109210,U109210,S566527,2026-02-03 17:36:02,2026-02-03,Namibia,Windhoek,Mobile,Chrome,Predictive System Maintenance,Schedule Demo,Facebook,Banking Cyber Resilience,Search Ads,Government Agency,Basic,44,379,3,0.24,1,1,0,1,15723,8477.89,16753,3.6,Pending,663,400,1,12528.33
279506,U279506,S342939,2026-04-16 20:36:10,2026-04-16,Nigeria,Abuja,Desktop,Chrome,Real-Time Threat Monitoring,Pricing Request,Direct,SME Security Awareness,Social Media,Large Enterprise,Enterprise,39,380,10,0.52,0,0,0,0,0,0.0,1280,4.5,At Risk,801,404,1,14434.34
417937,U417937,S177631,2026-04-15 18:59:36,2026-04-15,Namibia,Windhoek,Desktop,Edge,Real-Time Threat Monitoring,Product Inquiry,Facebook,Banking Cyber Resilience,Referral Campaign,Large Enterprise,Free Trial,47,613,3,0.26,0,0,0,0,0,0.0,1090,2.9,Not Applicable,887,404,1,11847.33
52934,U052934,S635863,2026-01-08 16:44:37,2026-01-08,Rwanda,Kigali,Desktop,Chrome,Predictive System Maintenance,Pricing Request,Google Ads,CyberShield Launch,Search Ads,Large Enterprise,Enterprise,47,388,2,0.07,0,0,0,0,0,0.0,1040,4.2,Renewed,851,301,1,20186.87
233367,U233367,S255718,2026-02-27 23:25:14,2026-02-27,Botswana,Gaborone,Desktop,Chrome,Real-Time Threat Monitoring,Schedule Demo,LinkedIn Ads,CyberShield Launch,Awareness Campaign,Large Enterprise,Basic,30,563,14,0.53,1,1,0,0,0,0.0,1300,1.6,At Risk,1060,200,0,15550.97
5970,U005970,S409331,2026-03-07 13:38:24,2026-03-07,Namibia,Windhoek,Mobile,Chrome,Digital Infrastructure Prototyping,Schedule Demo,Facebook,Banking Cyber Resilience,Referral Campaign,Technology Partner,Free Trial,62,469,7,0.57,1,0,0,0,0,0.0,1590,3.4,Not Applicable,513,400,1,19077.99
206188,U206188,S537932,2026-01-26 06:29:05,2026-01-26,Nigeria,Abuja,Mobile,Edge,Predictive System Maintenance,Product Inquiry,LinkedIn Ads,CyberShield Launch,Social Media,Technology Partner,Professional,91,802,10,0.5,0,0,0,0,0,0.0,2320,3.0,Pending,432,200,0,16445.08
